Starling ID,Headwords,Gloss,chosen_abbr,llm_second,v1_choice,v2_choice,agrees_v1,agrees_v2
PDR289,*čaḷ-,cold morning,SP_CD,TI_DW,TI_MG,TI_MG,,
PDR290,*čaŋ-,to jump; to climb,MO_JL,MO_WA,MO_JL,MO_JL,YES,YES
PDR291,*čap-,to clap hands,PA_SH,LM_VC,BP_HN,BP_HN,,
PDR292,"*čap-, *čapaṭ-",flat,SR_FL,SR_FS,SR_FL,SR_FL,YES,YES
PDR293,*čàraḍ-,"thread, cord",PA_RC,CA_NC,PA_RC,CA_TH,YES,
PDR294,*čaṭ-,"rock, flat rock",PW_SR,SR_FL,PW_SR,PW_SR,YES,YES
PDR295,*čaṭ-,frame,PA_BE,DF_FR,PW_WD,DF_WN,,
PDR296,*čaṭ-,sudden; soon,TI_SI,TI_SW,TI_SI,TI_SI,YES,YES
PDR297,*čaṭ-,to crackle (as fire); to slap,PW_FI,LM_VC,PA_SH,PA_TE,,
PDR298,*čaṭ-i,earthen pot,FD_PO,PA_MD,FD_PO,FD_PO,YES,YES
PDR299,*čāc-,breast (nursery word),BP_BW,BP_BO,BP_BW,BP_BW,YES,YES
PDR300,*čāj-,to incline; side,MO_TA,SR_HI,MO_TU,MO_RL,,
PDR301,*čāmb- (?),to wither; ashes,SR_GW,BP_LL,PW_AS,TI_CE,,
PDR302,*čāṇ-,chisel,PA_CS,PA_AU,PA_CS,PA_CS,YES,YES
PDR303,*čāp-,mat,DF_BD,DF_HS,PA_AX,DF_FL,,
PDR304,*ček-,"to scrape, splinter, chip",PA_CU,PA_CV,PA_NA,PA_CV,,
PDR305,*čel-,"beauty, wealth, prosperity",EM_BF,PT_WR,PT_WR,PT_WR,,
PDR306,*čeṇ-,old,TI_OL,MK_PA,TI_OL,TI_OL,YES,YES
PDR307,*čenḍ-,ball,SR_FS,QN_QN,FD_PJ,MO_TH,,
PDR308,*čep- (?),flesh,BP_FL,FD_ME,BP_FL,BP_FL,YES,YES
PDR309,*čēmp-,breast milk; to be full of milk,FD_MS,BP_BW,FD_MS,FD_MS,YES,YES
PDR310,*čic-,fire,PW_FI,PW_LT,PW_FI,PW_FI,YES,YES
PDR311,*čid-,to crush; to gore,PA_BK,PA_PR,EM_DE,PA_TE,,
PDR312,*čiḍ-r-,squirrel,AN_AN,AN_IN,AN_BU,AN_MO,,
PDR313,*čik-,small,SR_SM,TI_YG,QN_LF,QN_LF,,
PDR314,*čil-,"1 river, brook 2 to sprinkle",PW_RS,PW_RA,PW_RS,PW_RS,YES,YES
PDR315,*čilaṟ-,"trifle; small, minor",QN_PR,PT_MO,QN_LF,CA_HF,,
PDR316,*čim-,cricket,AN_IN,AN_AN,AN_BI,AN_IN,,YES
PDR317,*čin-,small,SR_SM,QN_PR,QN_LF,QN_LF,,
PDR318,*čiṟVt-,"leopard, panther",AN_AN,AN_LN,AN_LN,AN_LN,,
PDR319,*čiṭ-,"to snap, crack",PA_BK,PA_SP,FD_GR,PA_TE,,
PDR320,*čiṭ-,small,SR_SM,SR_SZ,QN_LF,QN_LF,,
PDR321,*čīm-a,ant,AN_IN,AN_AN,AN_EL,AN_IN,,YES
PDR322,*čī(v)-,"to cut, scrape; strip of wood",PA_CU,PA_RU,PA_CU,PA_CU,YES,YES
PDR323,*čonḍ-,"lip, mouth",BP_LI,BP_MO,BP_LI,BP_LI,YES,YES
PDR324,*čōl-,"garden, grove",AV_GA,PW_WF,AV_GA,AV_GA,YES,YES
PDR325,*čuṟuk-,"haste, zeal",TI_SW,EM_EF,TI_HH,TI_HH,,
PDR326,*čuẓ-,"to turn, twist",MO_TU,MO_RO,MO_TU,MO_TA,YES,
PDR327,*čūẓ-,to see,SP_SE,MT_KN,SP_SE,SP_LO,YES,
PDR328,*dag-,"to glitter, shine (mostly of fire)",PW_LG,SP_SH,CA_DY,CA_JW,,
PDR329,*dak-,"to possess, appropriate",PT_OP,SR_RM,PT_OP,PT_OP,YES,YES
PDR330,*[d]al-,"to strike, beat; cut off",PA_SH,EM_BF,PA_SH,PA_SH,YES,YES
PDR331,*danḍ-,upper arm,BP_AR,BP_EL,BP_AR,BP_EL,YES,
PDR332,*danṭ-,"stalk, stem",AV_PN,AV_RO,AV_SS,AV_FO,,
PDR333,*dap-,"thick, stout",SR_TD,SR_TS,FD_BB,SR_TS,,
PDR334,*dar- (?),ashes,PW_AS,PW_BU,PW_AS,PW_AS,YES,YES
PDR335,*daṭ-,big,SR_XL,SR_TD,SR_SZ,SR_XL,,YES
PDR336,*daẓ-,"to sprout, grow, thrive, prosper",SR_GW,AV_PN,AV_SS,AV_SS,,
PDR337,*dānṭ-,1 to jump 2 to cross,MO_JL,MO_GO,MO_JL,MO_JL,YES,YES
PDR338,*dār-i,"way, road",MO_RA,MO_PA,MO_RA,MO_RA,YES,YES
PDR339,*ḍek- (*V̀ḍek-),hoof,AN_LI,BP_NA,AV_HO,AN_FC,,
PDR340,*ḍēr-,to belch; a belch,BP_VO,BP_BB,RB_GP,BP_FB,,
PDR341,*dim-,flat ground; island,PW_PF,PW_MH,PW_IS,SR_FL,,
PDR342,*ḍip- (?),hill,PW_MH,PW_IS,PW_MH,PW_MH,YES,YES
PDR343,*djol-,saliva,BP_SP,BP_MO,BP_SP,BP_SP,YES,YES
PDR344,*doḍ-,"big, stout",SR_XL,SR_TD,FD_BB,FD_BB,,
PDR345,*doḍ-i,"backyard, stable",DF_YR,AV_GA,DF_YR,DF_YR,YES,YES
PDR346,*ḍok-,lizard,AN_AN,AN_LI,AN_SK,AN_SK,,
PDR347,*ḍok- (*V̀ḍok-),breastbone; chest; belly,BP_BN,BP_FC,BP_BS,BP_BN,,YES
PDR348,*ḍol-,"to lie down, sleep",SR_LI,BP_SL,BP_SL,BP_SL,,
PDR349,*ḍoŋ-,thief; to steal,PT_TH,PT_ST,PT_TH,PT_TH,YES,YES
PDR350,*ḍop-,a k. of basket,PA_BA,FD_DI,PA_BA,PA_BA,YES,YES
PDR351,*dorb-,lungs,BP_LL,BP_BO,BP_CO,BP_CO,,
PDR352,*doṟ-,"to get, find; to be near; to resemble",PT_GO,PT_FI,SR_NE,PT_GO,,YES
PDR353,*dos-,"grief, calamity; weariness",EM_GS,BP_WE,EM_GS,EM_MF,YES,
PDR354,*dōc-ai,a k. of cake,FD_CA,FD_BD,FD_CA,FD_CA,YES,YES
PDR355,*ḍōk-,eggshell,BP_EG,PA_GL,BP_EG,BP_EG,YES,YES
PDR356,*ḍōm-,mosquito,AN_IN,AN_FL,AN_IN,AN_IN,YES,YES
PDR357,*dōnṭ-,"hook, pole with hook",PA_TO,PA_AX,PA_RC,PA_NA,,
PDR358,*ḍōŋk- (?),hole; to dig holes,SR_HL,PA_BR,SR_HL,SR_HL,YES,YES
PDR359,*duḍ-,"to quiver, throb; to precipitate",MO_SH,EM_PA,WH_BW,EM_GR,,
PDR360,*duḍ-,"club, stick",WH_CL,PA_TO,WH_CL,WH_CL,YES,YES
PDR361,*dugVl-,cloth,CA_CL,CA_SI,CA_CL,CA_CL,YES,YES
PDR362,*duk-,obsequies; graveyard,BP_GR,BP_BD,BP_GR,BP_BD,YES,
PDR363,*dum-,dust,PW_DU,PW_GS,PW_DU,PW_DU,YES,YES
PDR364,*dum-,to jump; to climb,MO_JL,MO_FA,MO_JL,MO_JL,YES,YES
PDR365,*ḍum- (?),bone,BP_BN,BP_BO,BP_BN,BP_BN,YES,YES
PDR366,*dunḍ-,bud,AV_FL,AV_PN,EM_GD,AV_PN,,
PDR367,*dup-,bush; bird's nest,AV_PN,PW_WF,AN_BI,AN_BI,,
PDR368,*dūḏ-,to mention a name,LJ_AC,LM_TH,LM_CN,LJ_AC,,YES
PDR369,*dūl-,itch,SP_BD,BP_SS,BP_BI,SP_DS,,
PDR370,*dūnṭ-,"to thrust; to shoot, throw",MO_TH,PA_DP,MO_TH,MO_PS,YES,
PDR371,*èd-,chest,BP_FC,BP_HR,BP_FC,BP_FC,YES,YES
PDR372,*èḍ-,left,SR_LF,SR_RI,SR_LF,EM_RI,YES,
PDR373,*eḍ-,"to be distant, separated",SR_SE,MO_GA,SR_SE,SR_LE,YES,
PDR374,*ed- (?),good,EM_GD,EM_BF,EM_GD,EM_GD,YES,YES
PDR375,*eḍḍ-,"fool, stupid",MT_FS,MT_IR,MT_FS,MT_FS,YES,YES
PDR376,*èdir-,1 opposite 2 enemy,,SR_PO,WH_EN,WH_EN,,
PDR377,*eḏ-,to shoot; to throw,MO_TH,PA_SH,MO_TH,WH_AW,YES,
PDR378,*eḏ-,"to go beyond, transgress",BP_DD,BP_KI,MO_PU,MO_AR,,
PDR379,*eḏ- (*-ṟ-),"lord, master, king",SO_KK,SO_MA,SO_KK,SO_NN,YES,
PDR380,*eḏe-,to descend,MO_FA,MO_GO,MO_FA,MO_FA,YES,YES
PDR381,*eg- (*n-),to jump; fly,MO_JL,MO_RI,MO_JL,MO_JL,YES,YES
PDR382,*eɣiṟ-,gums,BP_MO,BP_TO,BP_TO,BP_MO,,YES
PDR383,*ej-,to arrive,MO_AR,MO_AP,MO_AR,MO_AR,YES,YES
PDR384,*ek-,to climb,MO_RI,MO_JL,MO_RL,MO_RI,,YES
PDR385,*ek-k-,"1 to pluck, pick 2 to scratch",PA_CU,BP_BI,PA_SS,PA_CU,,YES
PDR386,*el-,all; both,QN_EA,QN_WH,TI_AL,QN_EA,,YES
PDR387,*èl-,rat,AN_MO,AN_AN,AN_MO,AN_MO,YES,YES
PDR388,*el-,light,PW_LG,SP_BR,PW_LG,PW_LG,YES,YES
PDR389,*el- (?),to go down (of sun),MO_FA,MO_GO,PW_SU,PW_SU,,
PDR390,*el-ai,"limit, boundary",SR_ED,SR_EN,SR_NE,TI_CE,,
PDR391,*eḷ-i-,"small, contemptible; to disparage",SR_SM,EM_BD,EM_DC,EM_TC,,
PDR392,*eliŋ-,voice,LM_VO,SP_SO,LM_VO,LM_VO,YES,YES
PDR393,*el-[mb-],bone,BP_BN,BP_BO,BP_BN,BP_BN,YES,YES
PDR394,*elub-,white ant,AN_IN,AN_AN,AN_IN,AN_IN,YES,YES
PDR395,*elv-,"wave, flood",PW_WV,PW_LA,PW_WV,PW_WV,YES,YES
PDR396,*eṇ-,to count,MT_KN,MT_TR,QN_EN,QN_EN,,
PDR397,*eṇ- (-nṭ-),eight,QN_NN,QN_QN,TI_AG,QN_TH,,
PDR398,*enḏ-,"sunshine, heat of sun",PW_SU,SP_HW,PW_SU,PW_SU,YES,YES
PDR399,*eŋ-[c-],to be left over (of food),QN_PR,FD_FD,FD_AM,FD_AM,,
PDR400,*er-,"to cut down (grass, bushes, etc.)",AV_MR,PA_CU,AV_SH,AV_MR,,YES
PDR401,*er-,dark-brown colour; blood,SP_DC,AN_IN,SP_DC,SP_DC,YES,YES
PDR402,*erāg-i,a k. of plant,AV_GG,FD_VE,AV_LE,AV_PN,,
PDR403,*erd-,bullock,AN_OX,AN_CB,AN_CO,AN_BU,,
PDR404,*er-i-,"to light, burn",PW_BU,PW_LK,PW_BU,PW_BU,YES,YES
PDR405,*erm-,female buffalo,AN_FE,AN_CB,AN_FE,AN_FE,YES,YES
PDR406,*er-Vc-,wild dog,AN_DO,,AN_DO,AN_DO,YES,YES
PDR407,*er-Vk-,to defecate,BP_ED,FD_EA,BP_ED,BP_ED,YES,YES
PDR408,*eṟ-,red,SP_RD,SP_CO,SP_RD,SP_RD,YES,YES
PDR409,*eṟ-,worm,AN_WR,AN_IN,AN_WR,AN_WR,YES,YES
PDR410,*eṟ- (*-ḏ-),eaves,DF_RF,DF_HS,EM_GL,DF_RF,,YES
PDR411,*[e]ṟek-,"wing, feather",BP_WI,BP_FE,BP_FE,BP_FE,,
PDR412,*[e]ṟep-,eyelid,BP_EY,BP_EB,BP_EY,BP_EB,YES,
PDR413,*eṟumb-,ant,AN_IN,AN_AN,AN_EL,AN_IN,,YES
PDR414,*es-,to shine,PW_LG,SP_SH,EM_GL,SP_SH,,
PDR415,*esar-,water for boiling,FD_CO,PW_WA,FD_BO,FD_BO,,
PDR416,*et-,to lift; to carry (child),MO_RL,PA_SH,MO_RL,MO_RL,YES,YES
PDR417,*evVg- (?),leaf,AV_LE,AV_PN,AV_LE,AV_LE,YES,YES
PDR418,*eẓ- (?),beautiful,EM_BF,EM_JY,EM_BF,EM_BF,YES,YES
PDR419,*eǯ-,number,QN_NU,MT_TR,QN_NU,QN_NU,YES,YES
PDR420,*ēḏ-,"to separate, sift",SR_SE,PA_CU,SR_SE,SR_SE,YES,YES
PDR421,*ēg-,to walk,MO_WA,MO_GO,MO_WA,MO_WA,YES,YES
PDR422,*ēk-,to cool down,SP_CD,BP_WH,BP_SW,BP_SW,,
PDR423,*ēḷ-,"to sing, song",LM_SG,EM_JY,LM_SG,LM_SG,YES,YES
PDR424,*ēl-,cardamom,FD_VE,AV_PN,MK_MW,FD_PP,,
PDR425,*ēḷ-,wisdom,MT_WI,MT_KN,MT_IR,MT_WI,,YES
PDR426,*ēḻ-,1 to receive 2 to bestow,PT_GO,PT_GI,QN_ON,PT_GI,,
PDR427,*ēmaṟ- (*-ḏ-),perplexed; deceived,MT_DB,EM_EF,EM_DC,EM_WA,,
PDR428,*ēṇ-,"boundary, edge",SR_ED,SR_EN,SR_ED,SR_ED,YES,YES
PDR429,*ēnd-,to dance,MO_DA,MO_JL,MO_DA,MO_DA,YES,YES
PDR430,*ēŋ-,"1 to long for, desire 2 to grieve",EM_DE,EM_GS,EM_GS,EM_DE,,YES
PDR431,*ēr- (?),to see,SP_SE,SP_LO,SP_SE,SP_LO,YES,
PDR432,*ēṟ- (*-ḏ-),to rise; steep,MO_RI,SR_GW,MO_RL,MO_RI,,YES
PDR433,*ēṟ- (*-ḏ-),male,AN_MA,MK_MS,MK_MS,AN_MA,,YES
PDR434,*ēv-,to command,SO_CR,LM_ST,SO_CR,SO_CR,YES,YES
PDR435,*gad-,to cry; to scold,LM_SC,EM_CW,EM_CW,EM_CW,,
PDR436,*gaḍ-,grass,AV_GR,AV_HY,AV_GR,AV_GR,YES,YES
PDR437,*gàḍ-,"period, term",TI_TI,SR_EN,TI_TI,TI_TI,YES,YES
PDR438,*gaḍam-,beard; chin,BP_BE,BP_CN,BP_BE,BP_BE,YES,YES
PDR439,*gamp-,basket,PA_BA,FD_PL,PA_BA,PA_BA,YES,YES
PDR440,*gaṇ-,joint,BP_NA,PA_NA,BP_EL,BP_KN,,
PDR441,*ganḍ-,male,AN_MA,MK_MS,MK_MS,MK_MS,,
PDR442,*ganS-,"to bind, yoke",PA_BI,PA_BO,MO_YO,MO_YO,,
PDR443,*gant- (*-e-?),to jump,MO_JL,MO_DA,MO_JL,MO_JL,YES,YES
PDR444,*ganṭ-/*geṇ-,joint; ankle,BP_NA,SR_CN,BP_TE,BP_KN,,
PDR445,*gaR-,to spread,MO_FL,SR_GW,PT_LO,PA_SO,,
PDR446,*gaṟ-,long feather,AV_FL,BP_FE,BP_FE,BP_FE,,
PDR447,*gaṭ-,"clever, skilful",MT_IR,MT_WI,MO_SS,MT_WI,,
PDR448,"*gaṭ-, *kaṭ-, *ganṭ-","1 strong, hard 2 lump 3 spleen",SP_HA,BP_TS,BP_SM,BP_BL,,
PDR449,*gav-,"care, sympathy, pity",EM_CA,EM_PT,EM_PT,EM_PT,,
PDR450,*gav-i,cave,PW_IS,SR_HL,PW_SR,AN_BA,,
PDR451,*gaviseṇ-,"a case, cover",SR_CO,PA_MA,PT_PU,CA_CK,,
PDR452,*gavḷ-i,lizard,AN_AN,AN_IN,AN_SK,AN_SK,,
PDR453,*gaẓ-,stick,PA_TO,AV_PN,PW_MT,PW_MT,,
PDR454,*gaẓ-[Vd-],paddy field,PW_MU,AV_FC,AV_BA,AV_GR,,
PDR455,*gāḷ-,"wind, air",PW_WI,PW_AI,PW_WI,PW_WI,YES,YES
PDR456,*gāḷ-,fish-hook,PA_TO,AN_FI,AN_FI,AN_FM,,
PDR457,*gām- (?),"to increase, exceed",QN_MM,MO_RI,QN_MO,QN_MO,,
PDR458,*gās-i,trouble,EM_PS,EM_AN,TI_HR,SO_SQ,,
PDR459,*gel-,to win,WH_VI,PT_GO,WH_FI,WH_VI,,YES
PDR460,*genḍ-,a k. of fish,AN_FI,FD_ME,AN_FI,AN_FI,YES,YES
PDR461,*genǯ-,water from boiled rice,FD_FD,FD_CO,FD_BO,FD_BO,,
PDR462,*geṭ-,hoof,BP_FT,AN_LI,AV_HO,BP_FT,,YES
PDR463,*giḍ-,"hawk, falcon",AN_BI,,AN_BI,AN_BI,YES,YES
PDR464,*gil-i,fear,EM_FF,MT_DB,EM_FF,EM_FF,YES,YES
PDR465,*ginḍ-i,drinking vessel,FD_CU,DF_FR,FD_DR,FD_PJ,,
PDR466,*giṟ-,giddy,MO_TU,SP_PS,EM_JY,EM_JG,,
PDR467,*gīṟ-,line; to draw lines,PA_CU,LM_WE,SR_LN,LM_LI,,
PDR468,*goḍ-,barren (woman or cow),BP_BM,MK_WO,AN_CO,AN_CO,,
PDR469,*goḷ-ai,anus,BP_BO,BP_BS,AN_EL,BP_TS,,
PDR470,*gonṭ-,bamboo tube,PA_TO,AV_PN,AN_SK,PA_RC,,
PDR471,*goŋk-,hook; curved,SR_HK,PA_TO,PA_BN,CA_NC,,
PDR472,*goṟ-,deer,AN_DE,AN_SH,AN_DE,AN_DE,YES,YES
PDR473,*gōḍ-,wall,DF_WL,WH_FT,DF_WL,DF_WL,YES,YES
PDR474,*gōk- (?),to look up,MO_RI,SP_LO,SP_LO,SP_LO,,
PDR475,*gōḷ-,grief,EM_GS,EM_SA,EM_GS,EM_GS,YES,YES
PDR476,*gōl-,to roast,FD_RF,FD_CO,FD_RF,FD_RF,YES,YES
PDR477,*gōp-,grasshopper,AN_IN,AN_AN,AN_IN,AN_IN,YES,YES
PDR478,*gōr-,"to bale, draw water; a drag",PA_PO,MO_CA,PW_RS,PA_DP,,
PDR479,*guḍ-,small,SR_SM,MK_CH,QN_LF,QN_LF,,
PDR480,*guḍ-,to thunder,PW_TH,PW_LI,PW_TH,PW_TH,YES,YES
PDR481,*gùḍ-,temple,DF_HS,RB_TM,RB_TM,RB_TM,,
PDR482,*guḍ-,heap,PW_MH,QN_MC,AN_RA,AV_SH,,
PDR483,*guḍ- (?),black bear,AN_BR,AN_AN,AN_BR,AN_BR,YES,YES
PDR484,*gudd-,to punch,PA_SH,BP_BI,PA_SH,PA_SH,YES,YES
PDR485,*guḍ-/*guṭ-,small field on hill,AV_FC,PW_MH,PW_MH,PW_MH,,
PDR486,*gum-,hole; pit,SR_HL,PA_TO,SR_HL,SR_HL,YES,YES
PDR487,*gum-,1 heap 2 crowd,QN_MC,SR_HL,QN_MC,QN_MC,YES,YES
PDR488,*gum-,"knob, boss; hump",SR_PO,PW_MH,TI_CW,AN_AD,,
PDR489,*gumiẓ- (*-r-),coomb teak,AV_TR,PW_WF,FD_CB,CA_CO,,
PDR490,*gunḍ-,dust; powder,PW_DU,FD_MF,PW_DU,PW_DU,YES,YES
PDR491,*gunḍ-,heart,BP_HR,BP_BS,BP_HR,BP_HR,YES,YES
PDR492,*gunḍ-,"1 stone, pebble 2 round",PW_SR,SR_RO,PW_SR,PW_SR,YES,YES
PDR493,*gun(t)-,"bow, pellet-bow",WH_BW,WH_WA,WH_BW,WH_BW,YES,YES
PDR494,*gu[n]taḷ-,spade,AV_SP,AV_HO,AV_SP,AV_SP,YES,YES
PDR495,*gunṭ- (?),deep; pond,SR_DP,PW_LA,PW_LA,SR_SW,,
PDR496,*gunǯ-,owl,AN_BI,AN_AN,AN_BI,AN_BI,YES,YES
PDR497,*gunǯ-,to pull,,PA_DP,PA_DP,PA_DP,,
PDR498,*guŋVr-,mosquito,AN_IN,AN_AN,AN_IN,AN_IN,YES,YES
PDR499,*gup-,bush,PW_WF,AV_PN,AN_MK,AV_PL,,
PDR500,*gurḍ-,1 eyeball 2 egg,BP_EY,BP_EG,BP_EG,BP_EG,,
PDR501,*gurL-,"shell, cowrie",AN_BI,PW_SR,AN_CO,AN_CO,,
PDR502,*guṟ-,1 to roar 2 to snore,LM_VC,BP_BB,BP_SL,EM_GR,,
PDR503,*guṟ- (*-ḏ-),1 to aim 2 to mark 3 to write,LM_WE,MT_IP,LM_WE,MT_IP,YES,
PDR504,*guS-,to whisper,LM_ST,LM_VC,EM_CW,LM_BS,,
PDR505,*GuT- (?),"to be tight, tightly bound together",PA_BI,SR_TD,BP_YG,PA_RC,,
PDR506,*guṭ-,secret,MT_SR,EM_SS,MT_SR,MT_SR,YES,YES
PDR507,*gūḍ-,nest,AN_BI,DF_HS,AN_PU,DF_HS,,
PDR508,*gūḍ-,a k. of basket,PA_BA,FD_PO,PA_BA,PA_BA,YES,YES
PDR509,*gūḷ-,to crowd together,SR_CG,QN_MC,QN_MC,QN_MC,,
PDR510,*gūn-,to bend; hump,PA_BN,MO_FA,PA_BN,PA_BN,YES,YES
PDR511,*gūr- (?),to lie down,SR_LI,MO_FA,EM_LI,SR_LI,,YES
PDR512,*gūs-,"to fall down, pour",MO_DR,PA_PO,PA_PO,PA_PO,,
PDR513,*i-,this,SR_PL,LM_NA,TI_TM,TI_TD,,
PDR514,*iḍ-,to put,SR_PU,PA_MA,SR_PU,SR_PU,YES,YES
PDR515,*iḍ-,to stumble,MO_JL,SR_RM,MO_JL,MO_WA,YES,
PDR516,*iḍ-,to beat,PA_SH,WH_WA,WH_FI,PA_SH,,YES
PDR517,*iḍ-,"to crack, split",PA_SP,PA_BK,PA_SP,PA_SP,YES,YES
PDR518,*iḏ-,"tight, narrow",SR_TD,PA_PR,SR_NR,PA_SR,,
PDR519,*iḏ-,to put; to keep,SR_PU,PA_MA,PT_PR,SR_PU,,YES
PDR520,*il-,house,DF_HS,MK_FM,DF_HS,DF_HS,YES,YES
PDR521,*Ìl-ai,leaf,AV_LE,AV_PN,AV_LE,AV_LE,YES,YES
PDR522,*iḷ-uk-,to be sprained,BP_SM,BP_LE,BP_SD,PA_TE,,
PDR523,*Iṇ-,to join; equal,SR_JU,SR_SE,SR_JU,SO_ME,YES,
PDR524,*in-,1 to belch 2 to sigh,BP_BB,EM_EF,TI_FI,EM_GR,,
PDR525,*in-,sweet,SP_ST,EM_JG,TI_NO,SP_ST,,YES
PDR526,*i-neḏ-,today,TI_DA,SR_PL,TI_YD,TI_TD,,
PDR527,*iṇi-,"(water) to evaporate, (flood) to subside",MO_SI,PW_WA,PW_WA,PW_WA,,
PDR528,*ir-,to beg; to borrow,PT_BG,SO_HA,PT_BW,EM_PL,,
PDR529,*ir-,food,FD_FD,AN_PS,FD_FD,FD_EA,YES,
PDR530,*ir-,two,QN_NN,QN_QN,QN_ON,QN_ON,,
PDR531,*[i]reŋ-,"date, plum",FD_FR,AV_TR,FD_PC,TI_NM,,
PDR532,*ir-/*er-,to be,SR_ST,SR_SI,TI_FI,MT_SE,,
PDR533,*irmb-,iron,PA_IR,PA_TO,PA_IR,PA_IR,YES,YES
PDR534,*irp-,mahua,AV_TR,FD_FD,MK_MS,AN_MU,,
PDR535,*ir-Vc-,to scratch (ground); to comb,PA_SH,AV_DI,CA_CB,PW_SA,,
PDR536,*[i]̀ṟej-,shrimp,AN_FI,FD_FD,AN_FM,AN_FI,,YES
PDR537,*iS-,small,SR_SM,QN_LF,QN_LF,QN_LF,,
PDR538,"*is- (*e-, *-j-)","to move, go",MO_GO,MO_MO,MO_MO,MO_MO,,
PDR539,*isuk-,sand,PW_SA,PW_GS,PW_SA,PW_SA,YES,YES
PDR540,*iti ( < *ir-ti?) [cf. *ireŋ],fig tree,AV_TR,FD_FR,FD_FI,FD_FI,,
PDR541,*iṮ-,flesh; to eat meat,BP_FL,FD_ME,FD_ME,BP_FL,,YES
PDR542,*iṭ-,narrow; dense; thronged,SR_NR,SR_FS,SR_TS,SR_ND,,
PDR543,*iẓi-,"to fall, descend",MO_FA,MO_DR,MO_FA,MO_FA,YES,YES
PDR544,*ī̆j-,"to agree; proper, possible",SO_ME,EM_PL,MT_SN,MT_TO,,
PDR545,*īḷ-[aj-],young,TI_YG,BP_WE,TI_YG,TI_YG,YES,YES
PDR546,*īn-,to bear young,BP_BM,AN_LI,AN_BR,BP_BM,,YES
PDR547,*īŋ-,1 feather 2 hair,BP_FE,BP_HA,BP_FE,BP_FE,YES,YES
PDR548,*īp-,bee; fly,AN_BE,AN_FL,AN_BE,AN_BE,YES,YES
PDR549,*īr- (?),liver,BP_LV,BP_BO,BP_LV,BP_LV,YES,YES
PDR550,*īẓi-,"to pull, drag",PA_DP,MO_CA,MO_PS,MO_PS,,
PDR551,*jal-,"night, darkness",PW_DA,,TI_NG,TI_NG,,
PDR552,*jan-,to say,LM_SY,LM_ST,TI_LS,LM_SY,,YES
PDR553,*jā-,"to tie, bind",PA_BI,PA_RC,PA_BI,PA_RC,YES,
PDR554,*jā̆-,[interrogative base],MT_IN,SR_PL,SO_SU,LM_AQ,,
PDR555,*jāḷ-,to rule,SO_RG,PT_OP,SO_RG,SO_RG,YES,YES
PDR556,*jānḍ-,year,TI_YR,TI_AG,TI_YR,TI_YR,YES,YES
PDR557,*jeḏ- (*ṟ-),to know,MT_KN,MT_UN,MT_KN,MT_KN,YES,YES
PDR558,*jelí- (~ *a-),"to melt, dissolve",MO_FL,PA_DP,FD_MX,PA_PO,,
PDR559,*jeẓ- ~ *jeẓái-,"to weep, cry",EM_CW,EM_GS,EM_CW,EM_CW,YES,YES
PDR560,*jēḏ-,water,PW_WA,PW_RS,PW_WA,PW_WA,YES,YES
PDR561,*jēn-,elephant,AN_EL,AN_AN,AN_EL,AN_EL,YES,YES
PDR562,*joḷǯ-,bear,AN_BR,AN_AN,AN_BR,AN_BR,YES,YES
PDR563,*jōḍ-,goat,AN_GO,AN_SH,AN_GO,AN_GO,YES,YES
PDR564,*jōẓ-,seven,QN_NN,QN_QN,QN_NN,QN_TH,YES,
PDR565,*kabb-,to bite; to swallow,BP_BI,FD_EA,BP_BI,BP_BI,YES,YES
PDR566,*kac-,"angry, hostile",EM_AG,SO_SQ,EM_AG,EM_AG,YES,YES
PDR567,*kac-,"to bite, sting",BP_BI,SP_HE,BP_BI,BP_BI,YES,YES
PDR568,*kaḍ-,"1 bitter; sharp 2 severe, cruel 3 exceeding, great",SP_BI,SP_SP,EM_GS,SP_BI,,YES
PDR569,*kaḍ-,to churn,FD_CO,,FD_KD,FD_KD,,
PDR570,*kaḍ- (?),"belly, womb",BP_BS,BP_WO,BP_WO,BP_WO,,
PDR571,*kaḍal-,sea,PW_SE,PW_WA,PW_SE,PW_SE,YES,YES
PDR572,*kadd-/*kad-al-,"to shake, stir",MO_SH,MO_BL,MO_SH,MO_SH,YES,YES
PDR573,*kaḍ[i]-,bridle,MO_RD,PA_TO,TI_AU,MO_BR,,
PDR574,*kadir-,spindle,CA_SP,PA_TO,CA_SP,CA_SP,YES,YES
PDR575,*kaḍj-,panther; tiger,AN_AN,AN_LI,AN_LN,AN_LN,,
PDR576,*kaḍ-Vnḍ-,hornet,AN_IN,AN_SK,AN_BE,AN_BE,,
PDR577,*kaḏ- (*-ṟ-),to chew,BP_BI,FD_EA,BP_BI,FD_SU,YES,
PDR578,*kaɣ-,hand,BP_HN,BP_AR,BP_HN,BP_HN,YES,YES
PDR579,*kaj-,a k. of fish,AN_FI,FD_FD,AN_FI,AN_FI,YES,YES
PDR580,*kajd-,a k. of flower,AV_FL,AV_TR,AV_FL,AV_FL,YES,YES
PDR581,*kajil-,ladle,FD_SP,FD_DI,FD_ML,FD_SP,,YES
PDR582,*kajiṟ-,"rope, string",PA_RC,PA_BO,PA_RC,PA_RC,YES,YES
PDR583,*kak-,to vomit,BP_VO,BP_CO,BP_VO,BP_VO,YES,YES
